country_name,country_code,state_name,state_alpha,state_fips_code,marketing_id
UNITED STATES,9000,VERMONT,VT,50,OCT THRU DECVT2017
UNITED STATES,9000,VERMONT,VT,50,JAN THRU MARVT2016
UNITED STATES,9000,VERMONT,VT,50,APR THRU JUNVT2016
UNITED STATES,9000,VERMONT,VT,50,JUL THRU SEPVT2016
UNITED STATES,9000,VERMONT,VT,50,OCT THRU DECVT2016
UNITED STATES,9000,VERMONT,VT,50,JAN THRU MARVT2015
UNITED STATES,9000,VERMONT,VT,50,APR THRU JUNVT2015
UNITED STATES,9000,VERMONT,VT,50,JUL THRU SEPVT2015
UNITED STATES,9000,VERMONT,VT,50,OCT THRU DECVT2015
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2020
UNITED STATES,9000,VIRGINIA,VA,51,APR THRU JUNVA2020
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2019
UNITED STATES,9000,VIRGINIA,VA,51,JUL THRU SEPVA2019
UNITED STATES,9000,VIRGINIA,VA,51,OCT THRU DECVA2019
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2018
UNITED STATES,9000,VIRGINIA,VA,51,APR THRU JUNVA2018
UNITED STATES,9000,VIRGINIA,VA,51,JUL THRU SEPVA2018
UNITED STATES,9000,VIRGINIA,VA,51,OCT THRU DECVA2018
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2017
UNITED STATES,9000,VIRGINIA,VA,51,APR THRU JUNVA2017
UNITED STATES,9000,VIRGINIA,VA,51,JUL THRU SEPVA2017
UNITED STATES,9000,VIRGINIA,VA,51,OCT THRU DECVA2017
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2016
UNITED STATES,9000,VIRGINIA,VA,51,APR THRU JUNVA2016
UNITED STATES,9000,VIRGINIA,VA,51,JUL THRU SEPVA2016
UNITED STATES,9000,VIRGINIA,VA,51,OCT THRU DECVA2016
UNITED STATES,9000,VIRGINIA,VA,51,JAN THRU MARVA2015
UNITED STATES,9000,VIRGINIA,VA,51,APR THRU JUNVA2015
UNITED STATES,9000,VIRGINIA,VA,51,JUL THRU SEPVA2015
UNITED STATES,9000,VIRGINIA,VA,51,OCT THRU DECVA2015
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2020
UNITED STATES,9000,WASHINGTON,WA,53,APR THRU JUNWA2020
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2019
UNITED STATES,9000,WASHINGTON,WA,53,JUL THRU SEPWA2019
UNITED STATES,9000,WASHINGTON,WA,53,OCT THRU DECWA2019
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2018
UNITED STATES,9000,WASHINGTON,WA,53,APR THRU JUNWA2018
UNITED STATES,9000,WASHINGTON,WA,53,JUL THRU SEPWA2018
UNITED STATES,9000,WASHINGTON,WA,53,OCT THRU DECWA2018
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2017
UNITED STATES,9000,WASHINGTON,WA,53,APR THRU JUNWA2017
UNITED STATES,9000,WASHINGTON,WA,53,JUL THRU SEPWA2017
UNITED STATES,9000,WASHINGTON,WA,53,OCT THRU DECWA2017
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2016
UNITED STATES,9000,WASHINGTON,WA,53,APR THRU JUNWA2016
UNITED STATES,9000,WASHINGTON,WA,53,JUL THRU SEPWA2016
UNITED STATES,9000,WASHINGTON,WA,53,OCT THRU DECWA2016
UNITED STATES,9000,WASHINGTON,WA,53,JAN THRU MARWA2015
UNITED STATES,9000,WASHINGTON,WA,53,APR THRU JUNWA2015
UNITED STATES,9000,WASHINGTON,WA,53,JUL THRU SEPWA2015
UNITED STATES,9000,WASHINGTON,WA,53,OCT THRU DECWA2015
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2020
UNITED STATES,9000,WEST VIRGINIA,WV,54,APR THRU JUNWV2020
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2019
UNITED STATES,9000,WEST VIRGINIA,WV,54,JUL THRU SEPWV2019
UNITED STATES,9000,WEST VIRGINIA,WV,54,OCT THRU DECWV2019
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2018
UNITED STATES,9000,WEST VIRGINIA,WV,54,APR THRU JUNWV2018
UNITED STATES,9000,WEST VIRGINIA,WV,54,JUL THRU SEPWV2018
UNITED STATES,9000,WEST VIRGINIA,WV,54,OCT THRU DECWV2018
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2017
UNITED STATES,9000,WEST VIRGINIA,WV,54,APR THRU JUNWV2017
UNITED STATES,9000,WEST VIRGINIA,WV,54,JUL THRU SEPWV2017
UNITED STATES,9000,WEST VIRGINIA,WV,54,OCT THRU DECWV2017
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2016
UNITED STATES,9000,WEST VIRGINIA,WV,54,APR THRU JUNWV2016
UNITED STATES,9000,WEST VIRGINIA,WV,54,JUL THRU SEPWV2016
UNITED STATES,9000,WEST VIRGINIA,WV,54,OCT THRU DECWV2016
UNITED STATES,9000,WEST VIRGINIA,WV,54,JAN THRU MARWV2015
UNITED STATES,9000,WEST VIRGINIA,WV,54,APR THRU JUNWV2015
UNITED STATES,9000,WEST VIRGINIA,WV,54,JUL THRU SEPWV2015
UNITED STATES,9000,WEST VIRGINIA,WV,54,OCT THRU DECWV2015
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2020
UNITED STATES,9000,WISCONSIN,WI,55,APR THRU JUNWI2020
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2019
UNITED STATES,9000,WISCONSIN,WI,55,JUL THRU SEPWI2019
UNITED STATES,9000,WISCONSIN,WI,55,OCT THRU DECWI2019
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2018
UNITED STATES,9000,WISCONSIN,WI,55,APR THRU JUNWI2018
UNITED STATES,9000,WISCONSIN,WI,55,JUL THRU SEPWI2018
UNITED STATES,9000,WISCONSIN,WI,55,OCT THRU DECWI2018
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2017
UNITED STATES,9000,WISCONSIN,WI,55,APR THRU JUNWI2017
UNITED STATES,9000,WISCONSIN,WI,55,JUL THRU SEPWI2017
UNITED STATES,9000,WISCONSIN,WI,55,OCT THRU DECWI2017
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2016
UNITED STATES,9000,WISCONSIN,WI,55,APR THRU JUNWI2016
UNITED STATES,9000,WISCONSIN,WI,55,JUL THRU SEPWI2016
UNITED STATES,9000,WISCONSIN,WI,55,OCT THRU DECWI2016
UNITED STATES,9000,WISCONSIN,WI,55,JAN THRU MARWI2015
UNITED STATES,9000,WISCONSIN,WI,55,APR THRU JUNWI2015
UNITED STATES,9000,WISCONSIN,WI,55,JUL THRU SEPWI2015
UNITED STATES,9000,WISCONSIN,WI,55,OCT THRU DECWI2015
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2020
